Name,Category,Latitude,Longitude,Price,Zipcode
Da Andrea,Italian,40.736218,-73.99597,$$,10011
Thursday Kitchen,Korean,40.72761,-73.98373,$$,10009
Jack's Wife Freda,Breakfast & Brunch,40.7221323,-73.9975402,$$,10012
Joe's Shanghai,Shanghainese,40.7156608,-73.9967012,$$,10013
Olio e Più,Pizza,40.733798036104304,-73.99977392649927,$$,10014
The Osprey,American (New),40.702241,-73.995539,$$,11201
The Cabin NYC,American (New),40.72393,-73.98383,$$,10009
Ye's Apothecary,Szechuan,40.71945,-73.9898,,
Time Out Market New York,Food Court,40.70342863348067,-73.99214637055226,$$,11201
Raku,Japanese,40.72728,-74.00252,$$,10012
Antidote,Cocktail Bars,40.714253413118925,-73.96544806659222,$$,11249
Kong Sihk Tong 港食堂,Chinese,40.715433714742154,-73.9981186386701,$,10013
Atti,Korean,40.68841151989921,-73.98289919999999,,
Juliana's,Pizza,40.70274718768062,-73.99343490196397,$$,11201
Celestine,Mediterranean,40.704676,-73.987975,$$$,11201
Raku,Japanese,40.7264988089246,-73.9866526052356,$$,10003
Benemon,Japanese,40.72551,-73.98838,$$,10003
Soothr,Thai,40.732259,-73.987363,$$,10003
Cecconi's Dumbo,Italian,40.7033063330116,-73.9916549604523,$$$,11201
Ichibantei,Japanese,40.73063,-73.98275,$$,10009
AlMar,Italian,40.702662,-73.989177,$$,11201
Rubirosa,Italian,40.722766,-73.996233,$$,10012
Malibu Farm New York,American (New),40.705644,-74.00188,$$,10038
Tin Building by Jean-Georges,Grocery,40.706200062546294,-74.00226642004867,,
Boqueria Soho,Spanish,40.7249227818105,-74.00215536627918,$$,10012
FERNS,Bars,40.72881,-73.98403,$$,10009
Momofuku Ssam Bar,Asian Fusion,40.705476024827576,-74.0016428,$$$,10038
Em Vietnamese Bistro,Vietnamese,40.702670064808366,-73.99118578021728,$$,11201
Fishmarket Restaurant,Seafood,40.70717,-74.00192,$$,10038
Ingas Bar,American (New),40.69992328722937,-73.99371282578757,,
Jane Restaurant,Breakfast & Brunch,40.7273779,-74.00025,$$,10012
RH Rooftop Restaurant New York,American (Traditional),40.73985,-74.00639,$$$,10014
Upstate Craft Beer & Oyster Bar,Seafood,40.726373,-73.986557,$$,10003
High Lúa Vietnamese Kitchen,Vietnamese,40.71258,-73.96045,$$,11211
Amélie,French,40.7327,-73.99766,$$$,10011
Coco Bistro,French,40.70757,-74.00184,$$,10038
Wayla,Thai,40.7183,-73.9926038,$$$,10002
Crab House All You Can Eat Seafood,Buffets,40.759664,-73.969776,$$$$,10022
Tasty Hand-Pulled Noodles,Chinese,40.7142,-73.99787,$$,10013
Fish Cheeks,Seafood,40.7258,-73.9927,$$,10012
8282,Korean,40.72161,-73.98875,,
Sunday in Brooklyn,American (New),40.714181240175115,-73.96532809508915,$$,11249
Rule of Thirds,Japanese,40.7246328,-73.9551096,,
Lucky Rabbit Noodles,Tapas/Small Plates,40.70375,-73.98809,,
Very Fresh Noodles,Taiwanese,40.74207,-74.00565,$$,10011
Kuun,Korean,40.6884292,-73.9831506,,
Westville Dumbo,American (New),40.70208865020039,-73.9894541379247,$$,11201
Farida Central Asian Cuisine & Grill - Downtown,Uzbek,40.70712,-74.00845,,
JeJu Noodle Bar,Korean,40.73304,-74.00734,$$,10014
Thai Villa,Thai,40.73902,-73.99065,$$,10003
JeJu Noodle Bar,Korean,40.73304,-74.00734,$$,10014
Thai Villa,Thai,40.73902,-73.99065,$$,10003
YUBU,Korean,40.72702,-73.98608,$$,10003
DOMODOMO - New York,Japanese,40.7280299,-74.00167,$$$,10012
Kimura,Japanese,40.728995,-73.988279,$$$,10003
The River Café,American (New),40.703866713051106,-73.99479360219303,$$$$,11201
MONO+MONO,Korean,40.72549,-73.98803,$$,10003
The Leroy House,American (New),40.73063,-74.00661,$$$,10014
Okiboru House of Tsukemen,Ramen,40.71934,-73.98971,$$,10002
Cafe Mogador,Moroccan,40.719747,-73.959993,$$,11211
Monkey Bar,American (Traditional),40.759910389869454,-73.97320859999999,,
La Grande Boucherie,French,40.7626274,-73.98084109999999,$$$,10019
Sobak,Korean,40.71497047687499,-73.99158544320115,$$,10002
Mắm,Vietnamese,40.71704,-73.99338,,
Cobble Fish,Seafood,40.70530194592761,-74.00257774322735,,
Nyonya,Malaysian,40.719116974367,-73.9968322948353,$$,10013
Hole In The Wall,Australian,40.71444505961235,-73.9615832,$$,11249
BoCaphe,Vietnamese,40.722062,-73.997587,$$,10012
Aurora,Italian,40.715621,-73.964757,$$,11249
Wah Fung No 1,Fast Food,40.71735,-73.99457,$,10002
Zaab Zaab,Thai,40.71387597679311,-73.960393,,
Boutros,American (New),40.6901481293837,-73.9935445412993,$$$,11201
Taboonette,Mediterranean,40.7346038818359,-73.9928283691406,$$,10003
Jack's Wife Freda,Mediterranean,40.71707,-73.96322,,
Uncle Lou,Cantonese,40.71623,-73.99925,$$,10013
La Contenta,Mexican,40.71873,-73.98691,$$,10002
Brooklyn Farm,Thai,40.69461303547711,-73.99426770000436,$$,11201
Piccola Cucina Osteria,Italian,40.72506,-74.00322,$$,10012
5ive Spice,Vietnamese,40.722598,-73.996272,$$,10012
The Migrant Kitchen - Brooklyn,Middle Eastern,40.70343127955398,-73.99161055480388,,
Wenwen,Taiwanese,40.73398,-73.95504,,
The Binc,Cocktail Bars,40.69925,-73.99227,$$,11201
Usagi NY,Bookstores,40.70383,-73.98691,$$,11201
Balthazar,French,40.7226892950401,-73.9982149184027,$$$,10012
DumboLuv,American (New),40.70327,-73.98676,,
Her Name Is Han,Korean,40.7462615966797,-73.984733581543,$$,10016
Shu Jiao Fu Zhou,Chinese,40.7174109,-73.9920876,$,10002
Win Son,Taiwanese,40.70747,-73.94339,$$,11206
The Tyger,Cocktail Bars,40.71888,-73.99951,,
Miss Ada,Mediterranean,40.689436,-73.9723809,$$$,11205
Little Owl,Breakfast & Brunch,40.73240001181511,-74.00532068435112,$$,10014
Shuka,Mediterranean,40.72707,-74.00283,$$$,10012
Ruby's Cafe,Australian,40.730932,-73.988061,$$,10003
Nura,American (New),40.72467,-73.95371,,
Ampersand,Cocktail Bars,40.7386178790617,-73.9834206895483,$$,10010
Ippudo NY,Ramen,40.73092,-73.99015,$$,10003
Anytime Kitchen ,Korean,40.74776270790539,-73.9867793576711,$$,10001
While We Were Young,American (New),40.73437,-74.00272,$$,10014
Clover Hill,American (New),40.69316,-73.99871,,
Buvette,French,40.732704,-74.00434640955953,$$,10014
Evelina,Italian,40.689722,-73.971003,$$$,11205
Noodle Pudding,Italian,40.69979,-73.99203,$$,11201
The Wild Son Lunch Counter,American (New),40.72737,-73.98525,$$,10009
Mercado Little Spain,Spanish,40.752435,-74.001475,$$,10001
Butler,Coffee & Tea,40.7032670673495,-73.9922419276899,$$,11201
Mokyo,Korean,40.72714401116084,-73.98395721296154,,
Burger & Lobster - Flatiron NYC,Seafood,40.74007,-73.99344,$$,10011
L'Artusi,Italian,40.73372,-74.00513,$$$,10014
Selo,Modern European,40.7613,-73.92335,,
Fresh Salt,Bars,40.70707,-74.00244,$$,10038
Seamore’s Dumbo,Seafood,40.7032,-73.99145,$$,11201
7th Street Burger,Burgers,40.74115036458325,-73.98184169598186,,
Paesano of Mulberry Street,Italian,40.718554,-73.997447,$$,10013
Chi Restaurant & Bar,Chinese,40.75547,-73.99439,,
Salt + Charcoal,Japanese,40.71453,-73.9613511,$$,11249
Uluh,Tea Rooms,40.7293403,-73.9866071,$$$,10003
The Four Horsemen,Wine Bars,40.71305,-73.95732,$$,11211
Din Soup Dumplings,Dim Sum,40.69425,-73.99277,$$,11201
Bolivian Llama Party,Latin American,40.73936,-73.9207457005978,,
Salma,Lebanese,40.730369942268375,-73.9837222575225,$$,10003
David Burke TImeout Market,American (New),40.7034191,-73.992147,,
LumLum ,Thai,40.7629,-73.98991,$$,10019
886,Taiwanese,40.72877,-73.98873,$$,10003
Las Santas,Mexican,40.6882,-73.97953,$$,11217
CHILI,Szechuan,40.75002,-73.98215,$$,10016
Frangos Peri Peri,Portuguese,40.727787,-73.979444,$$,10009
Jack's Wife Freda,Mediterranean,40.729826,-74.003516,$$,10014
LaoJie Hotpot Manhattan,Hot Pot,40.71764,-73.99504,,
Luke's Lobster Brooklyn Bridge Park,Seafood,40.70359,-73.99411,$$,11201
Blue Willow 夜来湘,Szechuan,40.76292,-73.976546,,
Nowon,Korean,40.72532,-73.98334,$$$,10009
White Oak Tavern,American (New),40.73036,-73.99462,$$,10003
Barn Joo,Korean,40.73684,-73.99069,$$,10003
Gelso & Grand,Italian,40.71958,-73.99734,$$,10013
La Sirène-Soho,French,40.7243642217227,-74.005708694458,$$$,10013
Leitao,Portuguese,40.73495,-74.00628,,
Szechuan Mountain House,Szechuan,40.72911,-73.98858,$$,10003
Cafe Gitane,Moroccan,40.7028272982236,-73.9812811999999,,
Shanghai 21,Shanghainese,40.71441,-73.99902,$$,10013
Rice Kitchen,Korean,40.725166,-74.003712,$$,10012
TAGMO,Indian,40.70762,-74.00214,$$,10038
11 Tigers,Asian Fusion,40.72908,-73.97815,,
Potluck Club,Chinese,40.71952,-73.99333,,
Freemans,Breakfast & Brunch,40.721988,-73.992466,$$,10002
Excuse My French,Bars,40.718437,-73.989807,$$,10002
Noodle Village,Chinese,40.714167,-73.998803,$$,10013
Jacob's Pickles Time Out Market,Comfort Food,40.70341672927573,-73.99160957243645,$$,11201
Bar Lula,Cocktail Bars,40.72743,-73.98521,,
Madame Vo,Vietnamese,40.72925,-73.98612,$$,10003
Soba Mama,Japanese,40.73024678277589,-73.9940323,,
Eleni's,Greek,40.736601,-73.985085,,
Porcelain,Wine Bars,40.702315,-73.901679,,
Bread & Spread,Coffee & Tea,40.7025945,-73.9869119,$$,11201
Kopitiam,Malaysian,40.71387,-73.99091,$$,10002
Sun Hing Lung Co,Chinese,40.7127362,-73.9950764600962,$,10002
Pomp & Circumstance Dining,Italian,40.714166,-73.949612,$$,11211
Sweet Chick,Southern,40.7217399,-73.98739,$$,10002
Little Kirin,Comfort Food,40.72782,-73.98551,$$,10003
Emily,American (Traditional),40.68351,-73.96643,$$,11238
The Paris Cafe,Seafood,40.70732,-74.00159,$$,10038
Seaport House,Seafood,40.707503,-74.001945,$$,10038
Botte Brooklyn,Italian,40.69446,-73.98316,,
Rangoon,Burmese,40.6757,-73.96002,,
Lillo Cucina Italiana,Cafes,40.69023,-73.99634,$$,11201
Naked Dog,Italian,40.7312720665479,-73.9593493647979,$$,11222
Misi,Italian,40.71341,-73.96662,$$$,11249
La Pecora Bianca,Italian,40.74358,-73.9892,$$,10010
Lilia,Italian,40.71757,-73.95236,$$$,11211
TADA Korean Fried Chicken,Korean,40.71564775485656,-73.99808697776591,$$,10013
Chow House,Szechuan,40.72915,-74.00072,$$,10012
Java Indonesian Restaurant,Indonesian,40.662645,-73.9847769,$$,11215
Don Angie,Italian,40.73778,-74.00197,$$$,10014
Oxomoco,Mexican,40.7299099,-73.95548,$$$,11222
Walter's,American (New),40.6894111633301,-73.973258972168,$$,11217
Chef Huang Jian Bing & Peking Duck,Chinese,40.74531205210646,-73.9757772,,
Jiang Nan,Shanghainese,40.7175581,-73.99498,,
Kora,Filipino,40.751208638548974,-73.95004514604808,,
Kimika,Italian,40.720572,-73.995206,$$$,10012
Hometown Bar-B-Que,Barbeque,40.67486,-74.01602,$$,11231
Osteria Del Porto,Italian,40.70737443140159,-74.00270427364536,$$$,10038
Wild Ink,Asian Fusion,40.753754,-74.001388,$$$,10001
Koloman,French,40.74569968921106,-73.9880941,,
Mission Ceviche,Peruvian,40.7692325,-73.9578759,$$$,10021
San Marzano Pasta Fresca,Italian,40.727966,-73.988382,$$,10003
Rim Nam Thai,Thai,40.7033674860089,-73.9868891,,
Francie,American (New),40.71002578663716,-73.96405744314846,$$$$,11249
YunShang Rice Noodle House,Chinese,40.71525,-73.99765,$$,10013
Pecking House,Cantonese,40.6796443,-73.97457729999999,,
Gramercy Tavern,American (New),40.73844,-73.98825,$$$$,10003
Forsythia,Italian,40.7225353,-73.992492,$$$$,10002
KPOT Korean BBQ & Hot Pot,Hot Pot,40.69088,-73.98378,$$,11201
Hole In The Wall,Breakfast & Brunch,40.70838968823975,-74.00578177901109,$$,10038
Grimaldi's Pizzeria,Pizza,40.7026459,-73.9932413,$$,11201
Dante,Cocktail Bars,40.72879,-74.00165,$$,10012
Trapizzino,Italian,40.72043,-73.98894,$$,10002
Otway,American (New),40.68274,-73.96388,$$$,11238
Nami Nori,Sushi Bars,40.730284,-74.003212,$$$,10014
Ai Ki Ya,Ramen,40.74873,-73.98705,,
Shukette,Middle Eastern,40.74745,-74.00041,,
Sauced,Wine Bars,40.7126701394003,-73.9623194526208,,
Olea,Tapas Bars,40.6877844,-73.9706046,$$,11238
Despaña Fine Foods & Tapas Cafe,Spanish,40.721094,-73.9978255,$$,10013
Sweetwater Restaurant,American (New),40.7184736,-73.9600178,$$,11249
Cremini's - Aperitivo & Kitchen,Italian,40.674968,-73.999242,,
Curry House,Malaysian,40.7147043540403,-73.99770502336152,,
Carmine's Italian Restaurant - Times Square,Italian,40.75749848725768,-73.98665333142026,$$,10036
Red Hook Tavern,American (Traditional),40.67788,-74.01209,$$$,11231
Taste of Heaven,Soul Food,40.717115,-73.940613,$$,11211
Dinner Party,American (New),40.68692,-73.97469,,
Sagaponack,Bars,40.740937,-73.99081,$$,10010
Red Feather,Asian Fusion,40.72975,-73.99893,$$$,10012
Supper,Italian,40.72290786539601,-73.98520720537888,$$,10009
PALPAL,Korean,40.74568,-73.98466,,
Bacall's,American (New),40.7576,-73.98693,$$$,10036
Ruby's Cafe,Burgers,40.7223288,-73.996326,$$,10012
Ipanema Restaurant,Brazilian,40.75005,-73.98416,$$,10018
Tonchin,Ramen,40.71676616063315,-73.9616957,,
Otis,American (New),40.706011,-73.932598,$$$,11206
Ajisai on Duane,Japanese,40.71751,-74.01021,,
Sofreh,Persian/Iranian,40.6798617,-73.973984,$$$,11217
MayRee,Thai,40.72374,-73.9893,,
Berimbau Brazilian Kitchen,Brazilian,40.73007,-74.00366,$$,10014
Gran Electrica,Mexican,40.7027,-73.99314,$$,11201
Au Cheval,Burgers,40.7183878,-74.0015522,$$$,10013
Temakase,Sushi Bars,40.729711,-73.987127,,
Zaytinya - New York,Tapas/Small Plates,40.74549437933232,-73.9889085,,
The Hideaway Seaport,Bars,40.7080634,-74.002083,$$,10038
shabushabu Mayumon,Japanese,40.71434,-73.99205,,
Pig and Khao,Filipino,40.71926,-73.98475,$$$,10002
Wayan,Indonesian,40.7213813139202,-73.9950757664721,$$$,10012
Boucherie West Village,French,40.733063,-74.0028772,$$$,10014
Marlow & Sons,American (New),40.7106126934043,-73.9658814005443,$$$,11249
Agi's Counter,Hungarian,40.67,-73.95837,,
The Fulton by Jean-Georges,Seafood,40.705585,-74.001736,$$$,10038
Pollo D' Oro,Peruvian,40.69506,-73.98339,$$,11201
Top Thai Vintage,Thai,40.729907419973344,-74.00421380395268,$$,10014
House of Joy,Dim Sum,40.71510354400104,-73.998459,$$,10013
Di An Di,Vietnamese,40.72969,-73.95827,$$,11222
Shan,Cocktail Bars,40.68524,-73.99133,,
Calle Dao - Chelsea,Cuban,40.74769301,-74.00350737,$$,10011
Textbook,Coffee & Tea,40.6897156496454,-73.97775542543114,,
Ugly Baby,Thai,40.67795,-73.9961,$$$,11231
Ferdi,Italian,40.72995,-74.00449,,
Clinton Street Baking Company,Bakeries,40.721128,-73.983933,$$,10002
Zanmi,Haitian,40.6579395,-73.9505773,$$,11225
Henry's End,American (New),40.6987126,-73.99263839731027,$$$,11201
Nami Nori,Sushi Bars,40.71913964537471,-73.95284072719873,$$$,11211
Los Tacos No.1,Tacos,40.7422546402357,-74.0059581,$$,10011
Banter,Breakfast & Brunch,40.72787,-74.0010999,$$,10012
Barbalu Restaurant,Italian,40.7074747,-74.0020404,$$,10038
Nami Nori,Sushi Bars,40.71913964537471,-73.95284072719873,$$$,11211
Los Tacos No.1,Tacos,40.7422546402357,-74.0059581,$$,10011
Banter,Breakfast & Brunch,40.72787,-74.0010999,$$,10012
Barbalu Restaurant,Italian,40.7074747,-74.0020404,$$,10038
Laser Wolf,Middle Eastern,40.72098218304858,-73.95860654260929,$$$,11249
Bea,American (New),40.7591968,-73.9923361,$$,10036
Bonnie's,Cantonese,40.71783,-73.94651,,
Eyval,Persian/Iranian,40.70413,-73.93309,,
Watermark,Lounges,40.7043789539783,-74.0029934983643,$$,10038
Traif,American (New),40.710658,-73.958872,$$$$,11211
KJUN,Korean,40.74897,-73.97633,,
53 NYC,Asian Fusion,40.76179318437133,-73.9780863,,
Fatta Mano,Italian,40.62417577577335,-74.03055868559568,,
Bohemian Restaurant,Japanese,40.72639,-73.99236,$$$,10012
1803 Nyc,Cajun/Creole,40.715498,-74.007178,$$,10007
A-Pou's Taste,Taiwanese,40.71326,-73.93616,$,11211
Aoi Kitchen,Izakaya,40.72683167,-73.98754333,$$,10003
Madre,American (New),40.73311,-73.95798,$$$,11222
